Serial No.;Sequenz;Verkaufsbeleg;Position;Name;MatBereitstell;Materialnummer;Text;Auftrag;MRP Contr.;Arbeitsplatz;Gewicht/1 ST [KG];Bedarfsmenge SD;Auftrag menge [TO];Gedrückt;Gedrückt [TO];Rest Presse;Rest Presse [TO];Oven/Furnace;Temprature;Prelim. Stage;MatVent.;Modellnummer;;;Quality;Quality-Version;YSOR vers.
23;30;;0;;;8100053819;480X470X140 GEHQ \ o.G.;1,1E+11;PR;P-SI-L5;57,483;15;0,862;0;0;15;0,862;HWO;1435.00;;1.00;M.-13955;STANDARD, GEH FORMATE >40KG;GEHQ-9.04701.005-S;900558;H001;'@5F@
24;30;;0;;;8100053819;480X470X140 GEHQ \ o.G.;1,1E+11;PR;P-SI-L5;57,483;15;0,862;0;0;15;0,862;HWO;1435.00;;1.00;M.-13955;STANDARD, GEH FORMATE >40KG;GEHQ-9.04701.005-S;900558;H001;'@5F@
25;0;;0;;;8100063922;E973B OFL168 \ E973B OFL168;1,1E+11;PR;P-SI-V13;5,049;548;2,767;0;0;548;2,767;MTO;1720.00;;0.00;;;;;;
26;0;;0;;;8100063922;E973B OFL168 \ E973B OFL168;1,1E+11;PR;P-SI-V13;5,049;548;2,767;548;2,767;0;0;MTO;1720.00;;0.00;;;;;;
27;0;;0;;;8100066422;480X470X135 GEHQ \ o.G.;1,1E+11;PR;P-SI-L5;55,43;257;14,246;0;0;257;14,246;HWO;1435.00;;0.00;;STANDARD, GEH FORMATE >40KG;GEHQ-9.04701.005-S;900558;H001;'@5F@
28;0;;0;;;8100066422;480X470X135 GEHQ \ o.G.;1,1E+11;PR;P-SI-L5;55,43;257;14,246;387;21,451;-130;-7,206;HWO;1435.00;;0.00;;STANDARD, GEH FORMATE >40KG;GEHQ-9.04701.005-S;900558;H001;'@5F@
29;0;120025094;0;Gürok Turizm VE. MAD. A.S.;07.08.2015;8100055241;GB32 OT70K \ GB32 PDR70S;1,1E+11;PR;P-SI-V12;15,603;3.100,00;51,271;0;0;3.286,00;51,271;MTO;1700.00;;0.00;;STANDARD, KAMMERRAHMEN, PD-R70S;OT70K-9.43001.012-S;900509;H001;'@9V@
30;0;120025094;0;Gürok Turizm VE. MAD. A.S.;07.08.2015;8100055241;GB32 OT70K \ GB32 PDR70S;1,1E+11;PR;P-SI-V12;15,603;3.100,00;51,271;0;0;3.286,00;51,271;MTO;1700.00;;0.00;;STANDARD, KAMMERRAHMEN, PD-R70S;OT70K-9.43001.012-S;900509;H001;'@9V@
31;0;;0;;;8100066421;540X520X145 GEHQ \ o.G.;1,1E+11;PR;P-SI-L5;74,103;29;2,149;0;0;29;2,149;HWO;1435.00;;0.00;M.-14288;STANDARD, GEH FORMATE >40KG;GEHQ-9.04701.005-S;900558;H001;'@5F@
32;0;;0;;;8100066421;540X520X145 GEHQ \ o.G.;1,1E+11;PR;P-SI-L5;74,103;29;2,149;50;3,705;-21;-1,556;HWO;1435.00;;0.00;M.-14288;STANDARD, GEH FORMATE >40KG;GEHQ-9.04701.005-S;900558;H001;'@5F@
33;0;;0;;;8100066423;700X450X125 GEHQ \ o.G.;1,1E+11;PR;P-SI-L5;71,663;229;16,411;0;0;229;16,411;HWO;1435.00;;0.00;;STANDARD, GEH FORMATE >40KG;GEHQ-9.04701.005-S;900558;H001;'@5F@
34;0;;0;;;8100066423;700X450X125 GEHQ \ o.G.;1,1E+11;PR;P-SI-L5;71,663;229;16,411;346;24,795;-117;-8,385;HWO;1435.00;;0.00;;STANDARD, GEH FORMATE >40KG;GEHQ-9.04701.005-S;900558;H001;'@5F@
35;0;520001543;0;Riedhammer GmbH;11.09.2015;8100066240;94006 KN \ 94006 Si95;1,1E+11;PR;P-SI-V13;3,96;303;1,275;0;0;322;1,275;HOS;1435.00;;0.00;;"STANDARD, IK42, IK45;HANDFORM";IK45E-H-938903.005-S;900646;H001;'@9V@
36;0;520001543;0;Riedhammer GmbH;11.09.2015;8100066240;94006 KN \ 94006 Si95;1,1E+11;PR;P-SI-V13;3,96;303;1,275;332;1,315;-10;-0,04;HOS;1435.00;;0.00;;"STANDARD, IK42, IK45;HANDFORM";IK45E-H-938903.005-S;900646;H001;'@9V@
37;0;;0;;;8100053773;44-1 OFL107 \ 44-1 o.SG.;1,1E+11;PR;P-SI-V13;2,277;16.035,00;36,512;0;0;16.035,00;36,512;HWO;1435.00;;1.00;M.-11202A;;;;;
38;0;;0;;;8100053773;44-1 OFL107 \ 44-1 o.SG.;1,1E+11;PR;P-SI-V13;2,277;16.035,00;36,512;16.035,00;36,512;0;0;HWO;1435.00;;1.00;M.-11202A;;;;;
39;0;;0;;;900026536;STOP - allgemein;11000051;B00;P-SI-L5;0;0;0;0;0;0;0;;0.00;;0.00;;;;;;
40;0;;0;;;900026536;STOP - allgemein;11000051;B00;P-SI-L5;0;0;0;0;0;0;0;;0.00;;0.00;;;;;;
41;0;;0;;;900026536;STOP - allgemein;11000052;B00;P-SA-H1;0;0;0;0;0;0;0;;0.00;;0.00;;;;;;
42;0;;0;;;900026536;STOP - allgemein;11000052;B00;P-SA-H1;0;0;0;0;0;0;0;;0.00;;0.00;;;;;;
43;0;;0;;;900026536;STOP - allgemein;11000053;B00;P-SI-V13;0;0;0;0;0;0;0;;0.00;;0.00;;;;;;
44;0;;0;;;900026536;STOP - allgemein;11000053;B00;P-SI-V13;0;0;0;0;0;0;0;;0.00;;0.00;;;;;;
45;0;520001638;0;Nikolaus Sorg GmbH & Co.KG;23.10.2015;8100054338;HS84/10 Q98X-GF-H \ HS84/10 Q98X;1,1E+11;HF;HAND;41,036;8;0,369;0;0;9;0,369;HTO;900.00;;1.00;S21319;STANDARD,HANDFORM, < 25KG;Q98X-H-9.07703.605-S;900639;H001;'@5F@
46;0;520001638;0;Nikolaus Sorg GmbH & Co.KG;23.10.2015;8100054338;HS84/10 Q98X-GF-H \ HS84/10 Q98X;1,1E+11;HF;HAND;41,036;8;0,369;9;0,369;0;0;HTO;900.00;;1.00;S21319;STANDARD,HANDFORM, < 25KG;Q98X-H-9.07703.605-S;900639;H001;'@5F@
47;0;520001543;0;Riedhammer GmbH;11.09.2015;8100066365;95/61.120.250 Otto35 \ 94707 A30;1,1E+11;PR;P-SA-V4;5,335;350;1,979;0;0;371;1,979;TOS;1305.00;;1.00;M.-10208A;STANDARD,A30H;OTTO35-9.35000.002-S;900678;H001;'@5F@
48;0;520001543;0;Riedhammer GmbH;11.09.2015;8100066365;95/61.120.250 Otto35 \ 94707 A30;1,1E+11;PR;P-SA-V4;5,335;350;1,979;440;2,347;-69;-0,368;TOS;1305.00;;1.00;M.-10208A;STANDARD,A30H;OTTO35-9.35000.002-S;900678;H001;'@5F@
49;0;;0;;;8100053970;WB590X360X95 OT60 \ WB590X360X95 OT60;1,1E+11;PR;P-SA-L1;50,852;1.000,00;50,852;0;0;1.000,00;50,852;TOS;1400.00;;0.00;M.-14390B;'-AUTOMAT-, STANDARD INKL. HD.;OT60-9.41101.003-S;900505;H001;'@9V@
50;0;;0;;;8100053970;WB590X360X95 OT60 \ WB590X360X95 OT60;1,1E+11;PR;P-SA-L1;50,852;1.000,00;50,852;4.124,00;209,714;-3.124;-158,862;TOS;1400.00;;0.00;M.-14390B;'-AUTOMAT-, STANDARD INKL. HD.;OT60-9.41101.003-S;900505;H001;'@9V@
51;0;;0;;;8100066226;94306 IK45E-H \ 94306 A40;1,1E+11;HF;HAND;19,8;14;0,277;0;0;14;0,277;HOS;1420.00;;0.00;;"STANDARD, IK42, IK45;HANDFORM";IK45E-H-938903.005-S;900646;H001;'@9V@
52;0;;0;;;8100066226;94306 IK45E-H \ 94306 A40;1,1E+11;HF;HAND;19,8;14;0,277;14;0,277;0;0;HOS;1420.00;;0.00;;"STANDARD, IK42, IK45;HANDFORM";IK45E-H-938903.005-S;900646;H001;'@9V@
53;0;;0;;;8100066216;94209 IK45E-H \ 94209 A40;1,1E+11;HF;HAND;18,63;15;0,279;0;0;15;0,279;HOS;1420.00;;0.00;;"STANDARD, IK42, IK45;HANDFORM";IK45E-H-938903.005-S;900646;H001;'@9V@
54;0;;0;;;8100066216;94209 IK45E-H \ 94209 A40;1,1E+11;HF;HAND;18,63;15;0,279;15;0,279;0;0;HOS;1420.00;;0.00;;"STANDARD, IK42, IK45;HANDFORM";IK45E-H-938903.005-S;900646;H001;'@9V@
55;0;;0;;;8100066211;94204 IK45E-H \ 94204 A40;1,1E+11;HF;HAND;35,1;10;0,351;0;0;10;0,351;HOS;1420.00;;0.00;;"STANDARD, IK42, IK45;HANDFORM";IK45E-H-938903.005-S;900646;H001;'@9V@
56;0;;0;;;8100066211;94204 IK45E-H \ 94204 A40;1,1E+11;HF;HAND;35,1;10;0,351;10;0,351;0;0;HOS;1420.00;;0.00;;"STANDARD, IK42, IK45;HANDFORM";IK45E-H-938903.005-S;900646;H001;'@9V@
57;0;520001791;0;Al Tajir Glass Industries;29.09.2015;8100054044;6287-800 Q98X-H \ 6287-800 Q98X;1,1E+11;HF;HAND;33,441;70;2,508;0;0;75;2,508;HTO;900.00;;1.00;S25431;STANDARD,HANDFORM, < 25KG;Q98X-H-9.07703.605-S;900639;H001;'@5F@
58;0;520001791;0;Al Tajir Glass Industries;29.09.2015;8100054044;6287-800 Q98X-H \ 6287-800 Q98X;1,1E+11;HF;HAND;33,441;70;2,508;75;2,508;0;0;HTO;900.00;;1.00;S25431;STANDARD,HANDFORM, < 25KG;Q98X-H-9.07703.605-S;900639;H001;'@5F@
59;0;;0;;;8100063931;302287-S SL76LA-H \ o.G.;1,1E+11;END;HAND;4,554;84;0,383;0;0;84;0,383;MTO;1500.00;;1.00;Y3411;STANDARD;SL76LA-H-9.43913.000-S;900784;H001;'@5F@
60;0;;0;;;8100063931;302287-S SL76LA-H \ o.G.;1,1E+11;END;HAND;4,554;84;0,383;84;0,383;0;0;MTO;1500.00;;1.00;Y3411;STANDARD;SL76LA-H-9.43913.000-S;900784;H001;'@5F@
61;0;520001196;0;TOMAGO ALUMINIUM COMPANY PTY LIMITE;30.12.2015;8100055322;K3-358X110 IK46VP \ o.G.;1,1E+11;PR;P-SA-L4;8,885;240;2,266;0;0;255;2,266;TOS;1460.00;;2.00;M.-15845;STANDARD,FORMMAß FORMATABHÄNGIG.;IK46VP-9.39901.002-S;900549;H001;'@9V@
62;0;520001196;0;TOMAGO ALUMINIUM COMPANY PTY LIMITE;30.12.2015;8100055322;K3-358X110 IK46VP \ o.G.;1,1E+11;PR;P-SA-L4;8,885;240;2,266;255;2,266;0;0;TOS;1460.00;;2.00;M.-15845;STANDARD,FORMMAß FORMATABHÄNGIG.;IK46VP-9.39901.002-S;900549;H001;'@9V@
63;0;520001196;0;TOMAGO ALUMINIUM COMPANY PTY LIMITE;30.12.2015;8100055322;K3-358X110 IK46VP \ o.G.;1,1E+11;PR;P-SA-L4;8,885;140;1,324;0;0;149;1,324;TOS;1460.00;;2.00;M.-15845;STANDARD,FORMMAß FORMATABHÄNGIG.;IK46VP-9.39901.002-S;900549;H001;'@9V@
64;0;520001196;0;TOMAGO ALUMINIUM COMPANY PTY LIMITE;30.12.2015;8100055322;K3-358X110 IK46VP \ o.G.;1,1E+11;PR;P-SA-L4;8,885;140;1,324;149;1,324;0;0;TOS;1460.00;;2.00;M.-15845;STANDARD,FORMMAß FORMATABHÄNGIG.;IK46VP-9.39901.002-S;900549;H001;'@9V@
65;0;520001196;0;TOMAGO ALUMINIUM COMPANY PTY LIMITE;30.12.2015;8100055322;K3-358X110 IK46VP \ o.G.;1,1E+11;PR;P-SA-L4;8,885;120;1,137;0;0;128;1,137;TOS;1460.00;;2.00;M.-15845;STANDARD,FORMMAß FORMATABHÄNGIG.;IK46VP-9.39901.002-S;900549;H001;'@9V@
66;0;520001196;0;TOMAGO ALUMINIUM COMPANY PTY LIMITE;30.12.2015;8100055322;K3-358X110 IK46VP \ o.G.;1,1E+11;PR;P-SA-L4;8,885;120;1,137;128;1,137;0;0;TOS;1460.00;;2.00;M.-15845;STANDARD,FORMMAß FORMATABHÄNGIG.;IK46VP-9.39901.002-S;900549;H001;'@9V@
67;0;520001196;0;TOMAGO ALUMINIUM COMPANY PTY LIMITE;30.12.2015;8100055322;K3-358X110 IK46VP \ o.G.;1,1E+11;PR;P-SA-L4;8,885;120;1,137;0;0;128;1,137;TOS;1460.00;;2.00;M.-15845;STANDARD,FORMMAß FORMATABHÄNGIG.;IK46VP-9.39901.002-S;900549;H001;'@9V@
68;0;520001196;0;TOMAGO ALUMINIUM COMPANY PTY LIMITE;30.12.2015;8100055322;K3-358X110 IK46VP \ o.G.;1,1E+11;PR;P-SA-L4;8,885;120;1,137;128;1,137;0;0;TOS;1460.00;;2.00;M.-15845;STANDARD,FORMMAß FORMATABHÄNGIG.;IK46VP-9.39901.002-S;900549;H001;'@9V@
69;0;520001196;0;TOMAGO ALUMINIUM COMPANY PTY LIMITE;30.12.2015;8100055322;K3-358X110 IK46VP \ o.G.;1,1E+11;PR;P-SA-L4;8,885;90;0,853;0;0;96;0,853;TOS;1460.00;;2.00;M.-15845;STANDARD,FORMMAß FORMATABHÄNGIG.;IK46VP-9.39901.002-S;900549;H001;'@9V@
70;0;520001196;0;TOMAGO ALUMINIUM COMPANY PTY LIMITE;30.12.2015;8100055322;K3-358X110 IK46VP \ o.G.;1,1E+11;PR;P-SA-L4;8,885;90;0,853;96;0,853;0;0;TOS;1460.00;;2.00;M.-15845;STANDARD,FORMMAß FORMATABHÄNGIG.;IK46VP-9.39901.002-S;900549;H001;'@9V@
71;0;520001196;0;TOMAGO ALUMINIUM COMPANY PTY LIMITE;30.12.2015;8100055436;L3-530X178 IK46VP \ o.G.;1,1E+11;PR;P-SA-L3;21,216;150;3,373;0;0;159;3,373;TOS;1460.00;;1.00;M.-15848;STANDARD,FORMMAß FORMATABHÄNGIG.;IK46VP-9.39901.002-S;900549;H001;'@9V@
72;0;520001196;0;TOMAGO ALUMINIUM COMPANY PTY LIMITE;30.12.2015;8100055436;L3-530X178 IK46VP \ o.G.;1,1E+11;PR;P-SA-L3;21,216;150;3,373;169;3,586;-10;-0,212;TOS;1460.00;;1.00;M.-15848;STANDARD,FORMMAß FORMATABHÄNGIG.;IK46VP-9.39901.002-S;900549;H001;'@9V@
73;0;520001196;0;TOMAGO ALUMINIUM COMPANY PTY LIMITE;30.12.2015;8100055436;L3-530X178 IK46VP \ o.G.;1,1E+11;PR;P-SA-L3;21,216;150;3,373;0;0;159;3,373;TOS;1460.00;;1.00;M.-15848;STANDARD,FORMMAß FORMATABHÄNGIG.;IK46VP-9.39901.002-S;900549;H001;'@9V@
74;0;520001196;0;TOMAGO ALUMINIUM COMPANY PTY LIMITE;30.12.2015;8100055436;L3-530X178 IK46VP \ o.G.;1,1E+11;PR;P-SA-L3;21,216;150;3,373;175;3,713;-16;-0,339;TOS;1460.00;;1.00;M.-15848;STANDARD,FORMMAß FORMATABHÄNGIG.;IK46VP-9.39901.002-S;900549;H001;'@9V@
75;0;520001196;0;TOMAGO ALUMINIUM COMPANY PTY LIMITE;30.12.2015;8100055436;L3-530X178 IK46VP \ o.G.;1,1E+11;PR;P-SA-L3;21,216;190;4,286;0;0;202;4,286;TOS;1460.00;;1.00;M.-15848;STANDARD,FORMMAß FORMATABHÄNGIG.;IK46VP-9.39901.002-S;900549;H001;'@9V@
76;0;520001196;0;TOMAGO ALUMINIUM COMPANY PTY LIMITE;30.12.2015;8100055436;L3-530X178 IK46VP \ o.G.;1,1E+11;PR;P-SA-L3;21,216;190;4,286;261;5,537;-59;-1,252;TOS;1460.00;;1.00;M.-15848;STANDARD,FORMMAß FORMATABHÄNGIG.;IK46VP-9.39901.002-S;900549;H001;'@9V@
77;0;520001788;0;Nikolaus Sorg GmbH & Co.KG;17.11.2015;8100053066;2 OFLSi6 \ 2 OFLSi6;1,1E+11;PR;P-SI-V11;1,29;3.600,00;4,923;0;0;3.816,00;4,923;HWO;1435.00;;3.00;M.-4447;STANDARD, SILIKA LEICHTSTEIN, BRENNSTÄRKE MAX 76MM;OFLSI6-9.07611.004-S;900518;H001;'@5F@
78;0;520001788;0;Nikolaus Sorg GmbH & Co.KG;17.11.2015;8100053066;2 OFLSi6 \ 2 OFLSi6;1,1E+11;PR;P-SI-V11;1,29;3.600,00;4,923;4.134,00;5,333;-318;-0,41;HWO;1435.00;;3.00;M.-4447;STANDARD, SILIKA LEICHTSTEIN, BRENNSTÄRKE MAX 76MM;OFLSI6-9.07611.004-S;900518;H001;'@5F@
79;0;520001732;0;Haldor Topsoe A/S;26.02.2016;8100057591;HEXA/150 OZ92 \ o.G.;1,1E+11;PR;P-SI-V10;22,724;140;3,386;0;0;149;3,386;HTO;1720.00;;1.00;M.-15205;STANDARD, HEXAGONALSTEINE, BRAND: 1720°C,6H,140H;OZ92-9.70801.006-S;900740;H001;'@5F@
80;0;520001732;0;Haldor Topsoe A/S;26.02.2016;8100057591;HEXA/150 OZ92 \ o.G.;1,1E+11;PR;P-SI-V10;22,724;140;3,386;150;3,409;-1;-0,023;HTO;1720.00;;1.00;M.-15205;STANDARD, HEXAGONALSTEINE, BRAND: 1720°C,6H,140H;OZ92-9.70801.006-S;900740;H001;'@5F@
81;0;520001718;0;Heraeus Quartz UK Ltd.;25.09.2015;8100059327;1-76 ZS65AK \ 1-76 ZS65AK;1,1E+11;PR;P-SI-H2;7,573;1.200,00;48,164;0;0;6.360,00;48,164;MTO;1670.00;;4.00;M.-6254;STANDARD;ZS65AK-9.77201.008-S;900791;H001;'@9V@
82;0;520001718;0;Heraeus Quartz UK Ltd.;25.09.2015;8100059327;1-76 ZS65AK \ 1-76 ZS65AK;1,1E+11;PR;P-SI-H2;7,573;1.200,00;48,164;8.565,00;64,863;-2.205;-16,698;MTO;1670.00;;4.00;M.-6254;STANDARD;ZS65AK-9.77201.008-S;900791;H001;'@9V@
83;0;520001760;0;Heraeus Quartz UK Ltd.;23.10.2015;8100059796;3-76 ZS65AK \ 3-76 ZS65AK;1,1E+11;PR;P-SI-H2;12,996;180;1,378;0;0;106;1,378;MTO;1670.00;;1.00;M.-392;STANDARD;ZS65AK-9.77201.008-S;900791;H001;'@9V@
84;0;520001760;0;Heraeus Quartz UK Ltd.;23.10.2015;8100059796;3-76 ZS65AK \ 3-76 ZS65AK;1,1E+11;PR;P-SI-H2;12,996;180;1,378;0;0;106;1,378;MTO;1670.00;;1.00;M.-392;STANDARD;ZS65AK-9.77201.008-S;900791;H001;'@9V@
85;0;520001811;0;Heraeus Quartz UK Ltd.;20.11.2015;8100059796;3-76 ZS65AK \ 3-76 ZS65AK;1,1E+11;PR;P-SI-H2;12,996;100;1,378;0;0;106;1,378;MTO;1670.00;;1.00;M.-392;STANDARD;ZS65AK-9.77201.008-S;900791;H001;'@9V@
86;0;520001811;0;Heraeus Quartz UK Ltd.;20.11.2015;8100059796;3-76 ZS65AK \ 3-76 ZS65AK;1,1E+11;PR;P-SI-H2;12,996;100;1,378;0;0;106;1,378;MTO;1670.00;;1.00;M.-392;STANDARD;ZS65AK-9.77201.008-S;900791;H001;'@9V@
87;0;;0;;;8100066231;94312 IK45E-H \ 94312 A40;1,1E+11;HF;HAND;24,48;14;0,343;0;0;14;0,343;HOS;1420.00;;0.00;;"STANDARD, IK42, IK45;HANDFORM";IK45E-H-938903.005-S;900646;H001;'@9V@
88;0;;0;;;8100066231;94312 IK45E-H \ 94312 A40;1,1E+11;HF;HAND;24,48;14;0,343;14;0,343;0;0;HOS;1420.00;;0.00;;"STANDARD, IK42, IK45;HANDFORM";IK45E-H-938903.005-S;900646;H001;'@9V@
89;0;;0;;;8100066232;94313 IK45E-H \ 94313 A40;1,1E+11;HF;HAND;24,48;14;0,343;0;0;14;0,343;HOS;1420.00;;0.00;;"STANDARD, IK42, IK45;HANDFORM";IK45E-H-938903.005-S;900646;H001;'@9V@
90;0;;0;;;8100066232;94313 IK45E-H \ 94313 A40;1,1E+11;HF;HAND;24,48;14;0,343;14;0,343;0;0;HOS;1420.00;;0.00;;"STANDARD, IK42, IK45;HANDFORM";IK45E-H-938903.005-S;900646;H001;'@9V@
91;0;;0;;;8100066225;94305 IK45E-H \ 94305 A40;1,1E+11;HF;HAND;21,533;14;0,301;0;0;14;0,301;HOS;1420.00;;0.00;;"STANDARD, IK42, IK45;HANDFORM";IK45E-H-938903.005-S;900646;H001;'@9V@
92;0;;0;;;8100066225;94305 IK45E-H \ 94305 A40;1,1E+11;HF;HAND;21,533;14;0,301;14;0,301;0;0;HOS;1420.00;;0.00;;"STANDARD, IK42, IK45;HANDFORM";IK45E-H-938903.005-S;900646;H001;'@9V@
93;0;;0;;;8100066224;94304 IK45E-H \ 94304 A40;1,1E+11;HF;HAND;21,533;14;0,301;0;0;14;0,301;HOS;1420.00;;0.00;;"STANDARD, IK42, IK45;HANDFORM";IK45E-H-938903.005-S;900646;H001;'@9V@
94;0;;0;;;8100066224;94304 IK45E-H \ 94304 A40;1,1E+11;HF;HAND;21,533;14;0,301;14;0,301;0;0;HOS;1420.00;;0.00;;"STANDARD, IK42, IK45;HANDFORM";IK45E-H-938903.005-S;900646;H001;'@9V@
95;0;;0;;;8100066215;94208 IK45E-H \ 94208 A40;1,1E+11;HF;HAND;21,735;8;0,174;0;0;8;0,174;HOS;1420.00;;0.00;;"STANDARD, IK42, IK45;HANDFORM";IK45E-H-938903.005-S;900646;H001;'@9V@
96;0;;0;;;8100066215;94208 IK45E-H \ 94208 A40;1,1E+11;HF;HAND;21,735;8;0,174;8;0,174;0;0;HOS;1420.00;;0.00;;"STANDARD, IK42, IK45;HANDFORM";IK45E-H-938903.005-S;900646;H001;'@9V@
